id,llm_pred,label
540583,1,0
75893,1,0
172350,1,0
439087,1,0
696908,1,0
1195895,0,1
1058020,1,1
441822,,0
1405150,1,1
1067422,0,1
739831,1,0
108731,1,0
674910,1,0
1339974,1,1
1056385,1,1
1090601,1,1
695350,1,0
254785,1,0
870856,1,0
1188264,1,1
1272817,1,1
1275054,1,1
1184438,1,1
1249291,0,1
1371801,1,1
915283,1,0
192045,1,0
895422,1,0
686215,1,0
1276547,0,1
1141934,0,1
1162463,1,1
737306,1,0
1344387,1,1
1308557,1,1
1189443,1,1
1109065,1,1
220384,1,0
1187872,1,1
1173278,1,1
485730,1,0
322569,0,0
1394468,1,1
483140,1,0
1350328,1,1
432324,1,0
1325341,1,1
448104,1,0
563157,1,0
1204994,1,1
112484,,0
1246142,1,1
1125366,0,1
1058159,1,1
495009,1,0
1015597,1,0
398689,1,0
1314682,1,1
1183392,1,1
1247720,1,1
1190226,1,1
1325063,1,1
649581,1,0
655071,1,0
53506,1,0
1332265,0,1
380008,1,0
276823,1,0
1138668,1,1
593079,1,0
189581,1,0
1341121,1,1
1192275,1,1
1211007,1,1
534372,1,0
735945,1,0
1274650,1,1
329007,1,0
1344675,1,1
1295849,1,1
1199975,1,1
732630,1,0
853619,1,0
700595,1,0
1305408,1,1
1184905,1,1
1080074,1,1
1357551,1,1
1414715,1,1
372238,1,0
1316338,1,1
550588,1,0
820225,1,0
351792,1,0
1317730,1,1
209249,1,0
1381136,1,1
1176299,1,1
1339142,1,1
1079729,1,1
132140,1,0
821132,1,0
1259146,1,1
1354737,1,1
1367111,1,1
1297405,1,1
1183038,1,1
517901,1,0
1138440,1,1
1350323,1,1
1327902,1,1
1011471,1,0
1201032,1,1
1112434,1,1
1190080,1,1
1061723,1,1
865186,1,0
295073,0,0
83305,1,0
130313,1,0
1206865,1,1
10765,1,0
1195023,1,1
993057,1,0
1149197,1,1
582067,1,0
1142041,1,1
1015279,1,0
1181266,0,1
1233048,1,1
785399,1,0
1169547,1,1
549599,1,0
1251692,1,1
413864,1,0
1372814,1,1
1377126,1,1
658856,1,0
1284991,1,1
1229195,1,1
1023946,1,0
1191010,0,1
1355647,1,1
298648,1,0
1056979,1,1
324605,1,0
1284828,1,1
308354,1,0
327980,0,0
514524,1,0
803376,1,0
449289,1,0
322488,1,0
1148404,0,1
1128125,1,1
950613,1,0
1344788,1,1
297910,1,0
1101977,1,1
230105,1,0
1366257,1,1
1208887,1,1
922110,1,0
1274616,1,1
1241422,1,1
1153438,0,1
91506,1,0
283100,0,0
1213989,1,1
1406589,1,1
1290918,1,1
13110,1,0
449977,1,0
1200663,1,1
1235819,0,1
1404549,0,1
1064225,0,1
1112674,0,1
1272362,1,1
800630,1,0
107207,1,0
503307,1,0
1377356,,1
1270715,1,1
1220384,1,1
1009375,1,0
134580,1,0
283195,0,0
1303811,1,1
114793,1,0
227203,1,0
1356351,1,1
1324594,1,1
728194,1,0
590523,1,0
1058419,1,1
1375844,1,1
1277918,1,1
436805,1,0
390564,,0
1355509,1,1
1086502,1,1
100280,1,0
994524,1,0
374443,0,0
1228062,1,1
914635,1,0
1319180,1,1
1208445,1,1
1123471,1,1
1108217,1,1
1292105,0,1
405461,1,0
934595,0,0
558160,1,0
807077,1,0
1129658,1,1
1139084,1,1
228737,1,0
1232896,1,1
1136828,0,1
674130,1,0
946208,1,0
552533,1,0
708531,1,0
1398930,0,1
1167626,0,1
1254848,1,1
980474,1,0
376245,1,0
1112931,1,1
313492,0,0
1156047,1,1
811613,1,0
499965,1,0
1186548,1,1
66048,1,0
1161648,1,1
1184045,1,1
1299325,1,1
1214231,0,1
806847,1,0
1017286,1,0
313970,1,0
1063555,1,1
1398177,0,1
546014,1,0
682442,1,0
63792,1,0
626556,1,0
1210677,1,1
930721,1,0
1294170,1,1
1228824,1,1
503014,1,0
1099774,1,1
1079846,1,1
808993,1,0
1223082,1,1
502787,1,0
1288426,1,1
1231031,0,1
161026,1,0
25157,1,0
893209,1,0
1386317,0,1
1233643,1,1
1415334,1,1
563520,1,0
26834,1,0
1135716,1,1
1189139,1,1
112459,1,0
538315,1,0
1077788,0,1
978464,1,0
293700,0,0
1189695,1,1
1278991,0,1
668390,1,0
1231244,1,1
1283187,1,1
1274021,1,1
865420,1,0
1174947,1,1
980485,1,0
1329089,0,1
867359,1,0
899152,1,0
1222268,1,1
1138628,1,1
323732,1,0
458797,1,0
1275605,1,1
96400,1,0
1244654,1,1
1030880,1,0
850676,1,0
1346352,1,1
112352,1,0
1242800,1,1
1289190,1,1
1316646,0,1
895424,1,0
1382224,1,1
1329591,1,1
1137192,1,1
1077798,0,1
77467,1,0
538382,1,0
138374,1,0
1308782,1,1
637861,1,0
1079458,1,1
1280338,1,1
852210,1,0
1719,1,0
107897,1,0
1267470,1,1
818157,1,0
686992,1,0
1205758,1,1
1242333,1,1
810575,1,0
1407214,1,1
121646,1,0
1350310,1,1
534411,1,0
661185,1,0
1333984,1,1
1310868,1,1
1087275,1,1
1229724,1,1
1262416,0,1
1222389,1,1
161845,1,0
1123102,1,1
1276440,0,1
1358853,1,1
15859,1,0
472943,1,0
995661,1,0
8346,1,0
453388,1,0
1127634,1,1
759285,1,0
598923,1,0
1242116,0,1
962697,1,0
129320,1,0
1359733,1,1
991099,1,0
1250180,1,1
1076850,1,1
